encuest	th	sexo	edad	carnet	carnetanyos	conducebicicleta	conducemoto	conducevehiculoligero	conducecamion	kmturismo	acturismonum	opinionlimites	conductavelocidad	conductaalcohol	conductamovil	conductacinturon	opinionradares	acturismo	sancion	carnetpuntosperdidos	sancion_velocidad
126	Gipuzkoa	Hombre	57	1	39	1	0	0	0	100	4	Muy bajos	Bastante/Mucho	A veces	Nunca	Siempre	Hay demasiados	1	1	1	1
127	Gipuzkoa	Mujer	20	1	2	1	0	0	0	10	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
128	Gipuzkoa	Hombre	57	1	39	0	0	0	0	400	2	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
129	Bizkaia	Mujer	65	1	45	0	0	0	0	1	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
130	Gipuzkoa	Mujer	41	1	23	0	0	0	0	15	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
131	Bizkaia	Mujer	40	1	22	0	0	0	0	40	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
132	Gipuzkoa	Mujer	27	1	2	0	0	0	0	350	0	Estan ok	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	0	0	0
133	Bizkaia	Mujer	42	1	20	0	0	0	0	100	0	Estan ok	Alguna vez	Nunca	Nunca	No siempre	Hay demasiados	0	1	1	1
134	Gipuzkoa	Hombre	45	1	17	0	0	0	0	10	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
135	Gipuzkoa	Hombre	52	1	25	0	0	0	0	50	2	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	1	0	1
136	Bizkaia	Mujer	48	1	28	0	0	0	0	100	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	0	1	0
137	Bizkaia	Hombre	41	1	23	0	0	0	0	250	0	Muy bajos	Bastante/Mucho	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	1	0	0
138	Gipuzkoa	Mujer	45	1	23	0	0	0	0	20	1	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	0	0	0
139	Araba	Hombre	57	1	39	1	0	0	0	100	5	Muy bajos	Alguna vez	A veces	Nunca	Siempre	No debe haber ninguno	1	0	0	0
140	Bizkaia	Mujer	25	1	4	0	0	0	0	20	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
141	Bizkaia	Mujer	40	1	15	0	0	0	0	100	0	Estan ok	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	0	0	0
142	Gipuzkoa	Hombre	74	1	38	1	0	0	0	6	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
143	Gipuzkoa	Mujer	49	1	29	0	0	0	0	250	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	1	0	1
144	Gipuzkoa	Mujer	44	1	25	0	0	0	0	20	0	Estan ok	Alguna vez	Nunca	A veces	Siempre	Estan ok	0	1	1	0
145	Bizkaia	Hombre	40	1	21	0	0	0	0	300	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	0	0	0
146	Bizkaia	Mujer	42	1	22	0	0	0	0	15	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
147	Araba	Mujer	30	1	9	0	0	0	0	80	0	Estan ok	Bastante/Mucho	Nunca	A veces	Siempre	Hay demasiados	0	1	1	1
148	Gipuzkoa	Mujer	56	1	1	0	0	0	0	30	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
149	Bizkaia	Mujer	55	1	37	0	1	0	0	30	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	1	0	1
150	Gipuzkoa	Hombre	43	1	25	0	0	0	0	45	4	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	1	0	1
151	Gipuzkoa	Mujer	46	1	12	0	0	0	0	60	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
152	Bizkaia	Hombre	43	1	23	0	0	0	0	0	0	Estan ok	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	0	0	0
153	Bizkaia	Hombre	46	1	26	1	0	0	0	300	2	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	1	0	1
154	Gipuzkoa	Mujer	44	1	26	0	1	0	0	35	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	No debe haber ninguno	0	0	0	0
155	Gipuzkoa	Hombre	67	1	43	1	0	0	0	40	3	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
156	Araba	Mujer	44	1	20	1	0	0	0	50	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
157	Gipuzkoa	Mujer	43	1	25	1	0	0	0	150	1	Estan ok	Nunca	Nunca	A veces	Siempre	Estan ok	1	0	0	0
158	Gipuzkoa	Hombre	67	1	47	0	0	0	0	100	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	1	0	0
159	Gipuzkoa	Hombre	58	1	40	0	0	0	1	20	0	Muy altos	Alguna vez	A veces	Nunca	Siempre	No debe haber ninguno	0	1	1	1
160	Gipuzkoa	Hombre	67	1	50	0	0	0	0	140	0	Estan ok	Bastante/Mucho	Nunca	Nunca	Siempre	Estan ok	0	1	0	1
161	Bizkaia	Hombre	40	1	15	1	0	1	0	60	1	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	1	0
162	Gipuzkoa	Hombre	72	1	40	0	0	0	0	40	0	Muy altos	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
163	Bizkaia	Hombre	46	1	26	1	0	0	0	60	2	Muy bajos	Bastante/Mucho	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
164	Bizkaia	Hombre	54	1	35	0	0	0	0	2000	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	0	1	0	1
165	Bizkaia	Mujer	52	1	34	0	0	0	0	50	0	Muy bajos	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	0	0	0
166	Bizkaia	Hombre	47	1	25	0	0	0	0	500	2	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	0	0	0
167	Araba	Hombre	44	1	24	1	0	0	0	500	2	Estan ok	Nunca	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
168	Bizkaia	Mujer	41	1	23	0	0	0	0	70	2	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
169	Bizkaia	Mujer	45	1	23	0	0	0	0	5	1	Muy bajos	Nunca	Nunca	Nunca	Siempre	Hay demasiados	1	0	0	0
170	Bizkaia	Hombre	40	1	15	0	0	0	0	1000	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
